airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration
SpiceJet,SG-8709,Delhi,Evening,zero,Night,Mumbai,Economy,2.17
SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33
AirAsia,I5-764,Delhi,Early_Morning,zero,Early_Morning,Mumbai,Economy,2.17
Vistara,UK-995,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.25
Vistara,UK-963,Delhi,Morning,zero,Morning,Mumbai,Economy,2.33
Vistara,UK-945,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33
Vistara,UK-927,Delhi,Morning,zero,Morning,Mumbai,Economy,2.08
Vistara,UK-951,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.17
GO_FIRST,G8-334,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17
GO_FIRST,G8-336,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25
GO_FIRST,G8-392,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25
GO_FIRST,G8-338,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33
Indigo,6E-5001,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17
Indigo,6E-6202,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.17
Indigo,6E-549,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25
Indigo,6E-6278,Delhi,Morning,zero,Morning,Mumbai,Economy,2.33
Air_India,AI-887,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.08
Air_India,AI-665,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17
AirAsia,I5-747,Delhi,Evening,one,Early_Morning,Mumbai,Economy,12.25
AirAsia,I5-747,Delhi,Evening,one,Morning,Mumbai,Economy,16.33
GO_FIRST,G8-266,Delhi,Early_Morning,one,Evening,Mumbai,Economy,11.75
GO_FIRST,G8-101,Delhi,Early_Morning,one,Night,Mumbai,Economy,14.5
GO_FIRST,G8-103,Delhi,Evening,one,Morning,Mumbai,Economy,15.67
Air_India,AI-441,Delhi,Evening,one,Night,Mumbai,Economy,3.75
Indigo,6E-5328,Delhi,Morning,zero,Morning,Mumbai,Economy,2.5
Vistara,UK-933,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.17
Indigo,6E-2046,Delhi,Evening,zero,Evening,Mumbai,Economy,2.17
AirAsia,I5-744,Delhi,Morning,one,Afternoon,Mumbai,Economy,5.83
SpiceJet,SG-8169,Delhi,Evening,zero,Night,Mumbai,Economy,2.33
Indigo,6E-5041,Delhi,Evening,zero,Night,Mumbai,Economy,2.17
GO_FIRST,G8-165,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,8.0
Indigo,6E-2373,Delhi,Afternoon,one,Evening,Mumbai,Economy,6.0
Vistara,UK-813,Delhi,Evening,one,Morning,Mumbai,Economy,14.67
Vistara,UK-817,Delhi,Evening,one,Morning,Mumbai,Economy,16.17
Vistara,UK-819,Delhi,Afternoon,one,Morning,Mumbai,Economy,18.0
Vistara,UK-801,Delhi,Morning,one,Morning,Mumbai,Economy,23.17
Vistara,UK-815,Delhi,Morning,one,Morning,Mumbai,Economy,24.17
Air_India,AI-453,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,8.83
SpiceJet,SG-2976,Delhi,Evening,one,Night,Mumbai,Economy,4.5
SpiceJet,SG-2976,Delhi,Evening,one,Morning,Mumbai,Economy,15.25
Air_India,AI-504,Delhi,Night,one,Morning,Mumbai,Economy,11.0
Air_India,AI-502,Delhi,Afternoon,one,Morning,Mumbai,Economy,19.08
Air_India,AI-506,Delhi,Morning,one,Morning,Mumbai,Economy,22.83
Air_India,AI-803,Delhi,Early_Morning,one,Morning,Mumbai,Economy,26.42
Air_India,AI-479,Delhi,Night,one,Afternoon,Mumbai,Economy,17.75
SpiceJet,SG-339,Delhi,Evening,one,Afternoon,Mumbai,Economy,19.58
Vistara,UK-955,Delhi,Evening,zero,Night,Mumbai,Economy,2.33
Vistara,UK-627,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,26.67
AirAsia,I5-784,Delhi,Evening,one,Early_Morning,Mumbai,Economy,15.17
Air_India,AI-9643,Delhi,Evening,one,Afternoon,Mumbai,Economy,20.83
Air_India,AI-540,Delhi,Night,one,Morning,Mumbai,Economy,11.42
Air_India,AI-429,Delhi,Morning,one,Morning,Mumbai,Economy,22.25
Air_India,AI-439,Delhi,Early_Morning,one,Morning,Mumbai,Economy,26.0
Air_India,AI-9645,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,21.75
Indigo,6E-2193,Delhi,Afternoon,one,Evening,Mumbai,Economy,3.83
Indigo,6E-2168,Delhi,Evening,one,Night,Mumbai,Economy,4.42
Indigo,6E-152,Delhi,Morning,one,Evening,Mumbai,Economy,7.67
Indigo,6E-2193,Delhi,Afternoon,one,Night,Mumbai,Economy,8.33
Indigo,6E-369,Delhi,Night,one,Morning,Mumbai,Economy,10.42
Vistara,UK-899,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,23.75
Air_India,AI-764,Delhi,Evening,one,Afternoon,Mumbai,Economy,19.5
Vistara,UK-747,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,6.5
